Letter_ID,Issue Name,Category,Severity,Frequency,Sentiment,Letter Text,Document Style
126,Mental Health Service Shortages,Mental Health Service Shortages,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Mental Health Service Shortages. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
127,Mental Health Service Shortages,Mental Health Service Shortages,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Mental Health Service Shortages. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
128,Mental Health Service Shortages,Mental Health Service Shortages,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Mental Health Service Shortages. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
129,Mental Health Service Shortages,Mental Health Service Shortages,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Mental Health Service Shortages. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
130,Mental Health Service Shortages,Mental Health Service Shortages,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Mental Health Service Shortages. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
131,Drug and Alcohol Abuse,Drug and Alcohol Abuse,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Drug and Alcohol Abuse. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
132,Drug and Alcohol Abuse,Drug and Alcohol Abuse,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Drug and Alcohol Abuse. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
133,Drug and Alcohol Abuse,Drug and Alcohol Abuse,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Drug and Alcohol Abuse. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
134,Drug and Alcohol Abuse,Drug and Alcohol Abuse,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Drug and Alcohol Abuse. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
135,Drug and Alcohol Abuse,Drug and Alcohol Abuse,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Drug and Alcohol Abuse. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
136,Gender Pay Gap,Gender Pay Gap,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Gender Pay Gap. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
137,Gender Pay Gap,Gender Pay Gap,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Gender Pay Gap. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
138,Gender Pay Gap,Gender Pay Gap,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Gender Pay Gap. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
139,Gender Pay Gap,Gender Pay Gap,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Gender Pay Gap. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
140,Gender Pay Gap,Gender Pay Gap,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Gender Pay Gap. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
141,Age Discrimination in Employment,Age Discrimination in Employment,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Age Discrimination in Employment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
142,Age Discrimination in Employment,Age Discrimination in Employment,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Age Discrimination in Employment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
143,Age Discrimination in Employment,Age Discrimination in Employment,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Age Discrimination in Employment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
144,Age Discrimination in Employment,Age Discrimination in Employment,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Age Discrimination in Employment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
145,Age Discrimination in Employment,Age Discrimination in Employment,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Age Discrimination in Employment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
146,Child Poverty,Child Poverty,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Child Poverty. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
147,Child Poverty,Child Poverty,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Child Poverty. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
148,Child Poverty,Child Poverty,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Child Poverty. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
149,Child Poverty,Child Poverty,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Child Poverty. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
150,Child Poverty,Child Poverty,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Child Poverty. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
151,Bureaucratic Delays in Government Services,Bureaucratic Delays in Government Services,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Bureaucratic Delays in Government Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
152,Bureaucratic Delays in Government Services,Bureaucratic Delays in Government Services,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Bureaucratic Delays in Government Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
153,Bureaucratic Delays in Government Services,Bureaucratic Delays in Government Services,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Bureaucratic Delays in Government Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
154,Bureaucratic Delays in Government Services,Bureaucratic Delays in Government Services,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Bureaucratic Delays in Government Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
155,Bureaucratic Delays in Government Services,Bureaucratic Delays in Government Services,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Bureaucratic Delays in Government Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
156,Lack of Public Restrooms in Urban Areas,Lack of Public Restrooms in Urban Areas,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Lack of Public Restrooms in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
157,Lack of Public Restrooms in Urban Areas,Lack of Public Restrooms in Urban Areas,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Lack of Public Restrooms in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
158,Lack of Public Restrooms in Urban Areas,Lack of Public Restrooms in Urban Areas,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Lack of Public Restrooms in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
159,Lack of Public Restrooms in Urban Areas,Lack of Public Restrooms in Urban Areas,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Lack of Public Restrooms in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
160,Lack of Public Restrooms in Urban Areas,Lack of Public Restrooms in Urban Areas,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Lack of Public Restrooms in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
161,Unsafe Cycling Infrastructure,Unsafe Cycling Infrastructure,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Unsafe Cycling Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
162,Unsafe Cycling Infrastructure,Unsafe Cycling Infrastructure,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Unsafe Cycling Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
163,Unsafe Cycling Infrastructure,Unsafe Cycling Infrastructure,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Unsafe Cycling Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
164,Unsafe Cycling Infrastructure,Unsafe Cycling Infrastructure,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Unsafe Cycling Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
165,Unsafe Cycling Infrastructure,Unsafe Cycling Infrastructure,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Unsafe Cycling Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
166,Tackling Modern Slavery,Tackling Modern Slavery,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Tackling Modern Slavery. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
167,Tackling Modern Slavery,Tackling Modern Slavery,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Tackling Modern Slavery. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
168,Tackling Modern Slavery,Tackling Modern Slavery,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Tackling Modern Slavery. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
169,Tackling Modern Slavery,Tackling Modern Slavery,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Tackling Modern Slavery. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
170,Tackling Modern Slavery,Tackling Modern Slavery,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Tackling Modern Slavery. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
171,Gentrification and Displacement of Local Communities,Gentrification and Displacement of Local Communities,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Gentrification and Displacement of Local Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
172,Gentrification and Displacement of Local Communities,Gentrification and Displacement of Local Communities,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Gentrification and Displacement of Local Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
173,Gentrification and Displacement of Local Communities,Gentrification and Displacement of Local Communities,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Gentrification and Displacement of Local Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
174,Gentrification and Displacement of Local Communities,Gentrification and Displacement of Local Communities,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Gentrification and Displacement of Local Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
175,Gentrification and Displacement of Local Communities,Gentrification and Displacement of Local Communities,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Gentrification and Displacement of Local Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
176,Tackling Fake News and Misinformation,Tackling Fake News and Misinformation,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Tackling Fake News and Misinformation. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
177,Tackling Fake News and Misinformation,Tackling Fake News and Misinformation,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Tackling Fake News and Misinformation. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
178,Tackling Fake News and Misinformation,Tackling Fake News and Misinformation,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Tackling Fake News and Misinformation. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
179,Tackling Fake News and Misinformation,Tackling Fake News and Misinformation,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Tackling Fake News and Misinformation. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
180,Tackling Fake News and Misinformation,Tackling Fake News and Misinformation,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Tackling Fake News and Misinformation. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
181,Integration of Immigrant Communities,Integration of Immigrant Communities,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Integration of Immigrant Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
182,Integration of Immigrant Communities,Integration of Immigrant Communities,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Integration of Immigrant Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
183,Integration of Immigrant Communities,Integration of Immigrant Communities,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Integration of Immigrant Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
184,Integration of Immigrant Communities,Integration of Immigrant Communities,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Integration of Immigrant Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
185,Integration of Immigrant Communities,Integration of Immigrant Communities,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Integration of Immigrant Communities. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
186,Parking Problems,Parking Problems,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Parking Problems. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
187,Parking Problems,Parking Problems,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Parking Problems. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
188,Parking Problems,Parking Problems,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Parking Problems. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
189,Parking Problems,Parking Problems,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Parking Problems. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
190,Parking Problems,Parking Problems,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Parking Problems. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
191,Littering in Public Spaces,Littering in Public Spaces,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Littering in Public Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
192,Littering in Public Spaces,Littering in Public Spaces,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Littering in Public Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
193,Littering in Public Spaces,Littering in Public Spaces,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Littering in Public Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
194,Littering in Public Spaces,Littering in Public Spaces,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Littering in Public Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
195,Littering in Public Spaces,Littering in Public Spaces,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Littering in Public Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
196,Speeding Vehicles,Speeding Vehicles,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Speeding Vehicles. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
197,Speeding Vehicles,Speeding Vehicles,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Speeding Vehicles. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
198,Speeding Vehicles,Speeding Vehicles,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Speeding Vehicles. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
199,Speeding Vehicles,Speeding Vehicles,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Speeding Vehicles. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
200,Speeding Vehicles,Speeding Vehicles,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Speeding Vehicles. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
201,Crumbling Pavements,Crumbling Pavements,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Crumbling Pavements. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
202,Crumbling Pavements,Crumbling Pavements,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Crumbling Pavements. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
203,Crumbling Pavements,Crumbling Pavements,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Crumbling Pavements. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
204,Crumbling Pavements,Crumbling Pavements,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Crumbling Pavements. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
205,Crumbling Pavements,Crumbling Pavements,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Crumbling Pavements. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
206,Public Wi-Fi Gaps,Public Wi-Fi Gaps,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Public Wi-Fi Gaps. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
207,Public Wi-Fi Gaps,Public Wi-Fi Gaps,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Public Wi-Fi Gaps. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
208,Public Wi-Fi Gaps,Public Wi-Fi Gaps,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Public Wi-Fi Gaps. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
209,Public Wi-Fi Gaps,Public Wi-Fi Gaps,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Public Wi-Fi Gaps. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
210,Public Wi-Fi Gaps,Public Wi-Fi Gaps,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Public Wi-Fi Gaps. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
211,Youth Services Cuts,Youth Services Cuts,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Youth Services Cuts. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
212,Youth Services Cuts,Youth Services Cuts,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Youth Services Cuts. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
213,Youth Services Cuts,Youth Services Cuts,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Youth Services Cuts. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
214,Youth Services Cuts,Youth Services Cuts,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Youth Services Cuts. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
215,Youth Services Cuts,Youth Services Cuts,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Youth Services Cuts. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
216,Erosion of Coastal Areas,Erosion of Coastal Areas,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Erosion of Coastal Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
217,Erosion of Coastal Areas,Erosion of Coastal Areas,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Erosion of Coastal Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
